Cód;Causa;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19;ene-20;feb-20;mar-20;abr-20;may-20;jun-20;jul-20;ago-20;sept-20;oct-20;nov-20;dic-20;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sept-21;oct-21;nov-21;dic-21;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sept-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sept-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0104;Horario servicio estaciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;33;33;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0404;Huelga;2;6;31;37;92;12;0;0;1;41;3;38;2;0;2;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0603;Iluminación estaciones;12;11;2;4;3;2;4;2;7;2;2;4;8;2;0;0;2;2;0;1;2;1;1;8;4;5;4;2;0;2;1;3;0;4;3;1;1;0;1;4;2;1;1;1;2;3;0;5;1;0;1;4;2;1;1;1;2;3;0;5;4;3;1;2;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0604;Iluminación trenes;0;0;0;0;2;0;8;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0402;Incidencias en el servicio ajenas;50;130;51;33;29;8;5;27;12;7;14;6;3;7;0;0;0;2;5;3;8;2;1;1;11;1;6;11;4;3;5;2;14;3;4;7;4;3;9;2;1;7;10;2;1;2;7;24;4;3;9;2;1;7;10;2;1;2;7;24;1;6;0;0;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0401;Incidencias en el servicio propias;96;182;200;204;97;75;136;53;170;262;100;74;65;126;18;1;27;23;10;33;32;46;34;37;47;13;10;16;22;15;30;14;13;47;61;62;23;20;48;25;45;40;33;19;51;64;37;81;23;20;48;25;45;40;33;19;51;64;37;81;52;65;74;49;66;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0301;Información general de la red;5;1;7;6;2;0;4;3;7;3;2;4;2;3;2;1;1;1;2;2;2;0;1;0;2;1;0;2;0;2;1;0;0;2;1;2;0;1;2;4;1;1;0;6;2;1;0;3;0;1;2;4;1;1;0;6;2;1;0;3;2;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0302;Información para seguir la ruta;5;3;1;7;6;5;7;5;5;1;3;3;7;4;1;1;0;1;3;3;1;0;2;1;1;2;0;1;0;1;23;4;3;6;4;2;6;8;15;6;6;4;4;7;3;3;4;9;6;8;15;6;6;4;4;7;3;3;4;9;5;5;4;6;5;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0303;Información sobre incidencias;17;20;20;11;19;15;41;13;41;35;28;9;12;37;5;0;1;2;3;7;7;4;3;5;7;0;3;4;0;4;6;0;2;4;8;10;4;2;3;6;10;9;4;1;13;9;2;12;4;2;3;6;10;9;4;1;13;9;2;12;7;12;12;10;18;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0304;Información teleindicadores;3;3;9;5;6;5;24;42;20;5;1;1;5;6;3;3;0;2;1;9;2;1;1;0;0;0;1;2;0;2;4;5;3;0;2;1;1;4;1;2;2;3;1;3;2;4;2;1;1;4;1;2;2;3;1;3;2;4;2;1;4;2;8;4;2;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0703;Intervenciones y recargos;74;59;76;76;50;73;63;28;51;73;86;60;95;136;47;0;3;2;5;3;4;6;11;9;5;29;35;32;24;24;18;12;11;14;25;9;19;29;31;25;32;77;60;41;73;70;102;46;19;29;31;25;32;77;60;41;73;70;102;46;97;126;94;93;82;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0605;Limpieza estaciones;14;11;11;8;5;7;22;15;15;10;8;3;14;7;1;3;6;7;12;7;5;6;2;7;27;6;7;3;7;5;7;7;3;4;2;5;7;6;3;6;3;10;10;4;5;3;3;4;7;6;3;6;3;10;10;4;5;3;3;4;5;11;11;7;7;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0606;Limpieza trenes;1;3;1;2;2;1;3;9;3;3;1;0;2;1;3;4;1;2;5;3;1;3;4;2;7;4;1;2;0;4;0;0;2;4;1;3;3;2;1;1;3;2;8;1;1;0;3;1;3;2;1;1;3;2;8;1;1;0;3;1;1;2;1;5;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0999;Nulas;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0109;Número equipos de venta;1;4;3;0;5;6;0;1;2;3;5;1;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0110;Oferta funciones equipos de venta;5;3;6;4;6;9;7;8;7;4;7;3;1;6;1;1;0;0;1;3;3;0;1;1;2;3;3;5;5;3;5;3;3;5;3;3;7;4;6;7;4;5;7;3;6;6;6;5;7;4;6;7;4;5;7;3;6;6;6;5;3;2;4;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0111;Oferta servicios complementarios;6;11;4;12;7;11;20;1;16;9;10;6;15;7;5;0;0;3;3;6;2;4;4;5;4;4;3;10;3;2;6;1;7;4;4;11;711;4;4;9;6;12;14;5;11;46;13;15;711;4;4;9;6;12;14;5;11;46;13;15;8;19;3;22;11;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0403;Operación - maniobras;89;44;79;275;46;55;61;36;65;49;42;33;41;50;16;9;13;17;28;32;33;26;21;20;12;22;21;20;17;13;33;13;25;33;42;35;21;30;22;13;31;31;26;18;24;39;55;33;21;30;22;13;31;31;26;18;24;39;55;33;62;63;35;48;57;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0299;Otros. Accesibilidad;2;3;0;0;2;0;0;0;0;0;4;2;4;2;0;0;0;1;0;14;48;125;87;47;36;27;4;5;5;1;15;0;4;6;4;0;3;3;0;6;6;7;2;2;2;7;5;10;3;3;0;6;6;7;2;2;2;7;5;10;6;1;8;9;14;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0599;Otros. Atención al cliente;3;5;8;7;3;4;6;9;7;4;2;7;2;4;3;4;3;3;3;0;3;3;4;2;1;9;3;0;4;5;6;1;4;1;3;4;1;2;2;0;0;1;1;0;3;4;3;4;1;2;2;0;0;1;1;0;3;4;3;4;1;1;3;5;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0699;Otros. Confort;8;11;5;6;3;7;10;1;8;6;10;14;6;3;1;1;0;8;6;13;11;1;5;6;5;4;2;7;4;1;1;4;4;1;1;3;1;2;2;1;3;3;3;2;5;1;3;3;1;2;2;1;3;3;3;2;5;1;3;3;4;2;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0499;Otros. Explotación;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;1;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;2;9;0;0;0;0;0;0;0;0;0;0;2;9;0;0;4;3;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0399;Otros. Información;4;5;3;6;3;3;4;1;7;1;3;2;9;7;4;4;7;6;12;4;11;4;2;5;1;3;1;0;4;2;5;1;1;6;5;4;1;0;2;3;6;6;11;4;1;6;5;6;1;0;2;3;6;6;11;4;1;6;5;6;11;5;6;11;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0899;Otros. Medio ambiente;4;14;6;9;7;5;4;9;21;8;5;4;6;1;85;21;78;103;110;38;1;1;1;1;1;3;2;1;2;1;1;2;2;0;1;2;0;4;0;0;0;0;0;2;0;0;2;0;0;4;0;0;0;0;0;2;0;0;2;0;1;1;0;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0799;Otros. Seguridad;0;0;0;0;2;1;4;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0199;Otros. Servicio ofertado;12;16;17;18;40;10;12;11;21;32;53;13;12;15;8;5;3;5;4;2;38;28;25;16;20;33;9;11;4;5;8;3;12;5;17;13;2;10;8;7;4;4;10;4;13;65;10;13;2;10;8;7;4;4;10;4;13;65;10;13;13;10;6;6;5;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0205;Pago electrónico;116;69;52;44;62;58;63;51;56;72;59;56;62;55;25;6;26;21;28;28;39;35;28;29;46;25;69;22;44;41;21;37;27;40;52;50;41;36;54;49;55;40;35;40;43;54;36;37;41;36;54;49;55;40;35;40;43;54;36;37;37;36;37;50;40;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0512;Respuesta reclamaciones;17;4;4;2;6;7;11;10;2;4;3;1;7;2;2;0;1;1;4;4;3;4;4;3;3;0;2;1;0;0;0;2;4;2;0;1;3;2;4;3;2;1;2;3;8;2;4;5;3;2;4;3;2;1;2;3;8;2;4;5;1;4;3;8;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0611;Ruido y vibraciones;2;4;3;2;3;4;6;2;3;3;5;1;0;3;3;0;0;0;1;1;1;1;0;2;2;3;2;0;2;1;0;2;1;0;0;2;0;1;1;1;6;3;3;1;5;0;2;1;0;1;1;1;6;3;3;1;5;0;2;1;2;2;4;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0702;Seguridad ciudadana;25;30;22;28;22;13;25;23;25;22;22;20;15;20;19;20;8;15;17;21;12;15;9;10;11;17;17;15;10;7;12;16;4;12;9;4;9;20;11;14;18;28;20;29;11;20;13;11;9;20;11;14;18;28;20;29;11;20;13;11;20;28;24;20;12;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0113;Servicios mínimos por huelga;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0112;Suspensión programada;1;0;1;3;0;2;4;13;3;1;1;2;179;53;2;2;0;1;0;1;0;0;0;0;1;0;0;1;0;77;97;40;4;0;0;0;0;28;29;16;11;0;3;45;36;0;7;109;0;28;29;16;11;0;3;45;36;0;7;109;0;13;67;6;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0102;Tarifas;22;19;22;17;14;17;27;19;23;20;13;16;25;22;14;5;2;5;10;7;14;6;5;4;22;5;3;7;5;4;5;13;7;13;7;7;7;8;11;13;9;11;10;19;19;12;9;14;7;8;11;13;9;11;10;19;19;12;9;14;11;6;13;12;7;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0607;Temperatura estaciones;0;0;0;0;1;5;46;17;14;3;3;0;0;2;0;0;0;1;3;6;0;0;0;0;0;0;0;0;0;0;0;0;5;4;1;0;0;0;0;0;0;1;12;7;3;2;6;0;0;0;0;0;0;1;12;7;3;2;6;0;0;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0608;Temperatura trenes;8;9;19;30;52;201;892;234;227;106;40;16;8;23;2;1;3;12;61;25;10;4;2;6;0;1;4;1;1;27;28;24;18;23;5;3;3;1;1;5;37;138;220;139;55;25;20;17;3;1;1;5;37;138;220;139;55;25;20;17;3;5;5;17;56;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0511;Tratamiento objetos perdidos;17;14;13;13;16;10;12;3;16;21;15;20;15;14;2;2;2;5;2;4;7;8;5;5;7;6;4;6;2;8;9;4;3;7;6;6;10;9;11;15;13;13;4;7;13;13;11;11;10;9;11;15;13;13;4;7;13;13;11;11;18;4;4;5;2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0609;Ventilación estaciones;1;2;13;3;4;3;14;12;22;10;2;6;10;3;1;0;1;0;0;0;0;1;0;2;1;2;1;0;0;2;1;0;0;3;0;0;0;0;0;4;8;14;25;1;3;2;4;1;0;0;0;4;8;14;25;1;3;2;4;1;1;4;1;3;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0610;Ventilación trenes;0;0;0;0;0;2;3;4;12;5;0;3;1;0;1;0;0;1;0;0;2;15;16;5;7;5;5;3;2;0;4;0;2;2;3;0;1;1;0;0;1;4;1;2;1;1;2;1;1;1;0;0;1;4;1;2;1;1;2;1;1;3;2;7;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;